,short_ma,long_ma,signal,cumulative_return,sharpe
873,7,33,14,0.8254321099853487,-0.07238217911156336
490,6,50,15,0.825239700317382,-0.0722520891940049
4290,12,42,7,0.8246065722656208,-0.07264137422658805
1015,7,42,12,0.8244660742187481,-0.07269672939147812
4612,13,21,9,0.8238558288574225,-0.07221187990732929
1992,9,21,13,0.8238558288574225,-0.07221187990732929
9233,20,24,6,0.8234943395996123,-0.07281236737458699
2324,9,42,9,0.8234361486816367,-0.07320046803908759
2662,10,22,11,0.8234275634765619,-0.07238825016136306
3317,11,22,10,0.8234275634765619,-0.07238825016136306
753,7,26,6,0.8233754248046867,-0.0717736417109565
98,6,26,7,0.8233754248046867,-0.0717736417109565
664,7,20,13,0.8232061163330069,-0.07187195427353354
4594,13,20,7,0.8232061163330069,-0.07187195427353354
1349,8,22,10,0.8230649114990217,-0.07187466043204067
2659,10,22,8,0.8230649114990217,-0.07187466043204067
1112,7,48,13,0.8230180633544907,-0.07351016005334021
4818,13,34,7,0.8229211865234394,-0.0732396545048958
888,7,34,13,0.8229211865234394,-0.0732396545048958
3731,11,48,8,0.821990202026363,-0.07392492786367111
1766,8,48,11,0.821990202026363,-0.07392492786367111
8160,18,38,5,0.821896990966799,-0.07380731920339324
3347,11,24,8,0.8218322717285154,-0.0724202894545052
1382,8,24,11,0.8218322717285154,-0.0724202894545052
4435,12,51,8,0.8214971258544902,-0.07395313629636668
2276,9,39,9,0.8212614282226609,-0.07399144568537332
2192,9,34,5,0.8205052038574181,-0.072931687362868
1797,8,50,10,0.8202482385253929,-0.0746856120621789
3107,10,50,8,0.8202482385253929,-0.0746856120621789
6337,15,47,6,0.8196264099121124,-0.07491986866855575
2150,9,31,11,0.8191148577880786,-0.07523398532663579
1991,9,21,12,0.8189939703369122,-0.07448394085032206
8784,19,36,5,0.8188819409179697,-0.07533764576926155
8976,19,48,5,0.818726605834958,-0.07535662723838428
3328,11,23,5,0.8186434759521457,-0.07381472057276131
4,6,20,9,0.818595886840816,-0.07403282953766206
1969,9,20,6,0.818595886840816,-0.07403282953766206
3460,11,31,9,0.8183965197753883,-0.07554642528189905
770,7,27,7,0.8183678625488283,-0.07377640896824794
2805,10,31,10,0.8183046820068335,-0.07558903399087638
3956,12,21,9,0.8182757336425797,-0.07481133558558298
523,6,52,16,0.8181494299316383,-0.07574381246587583
7073,16,52,6,0.8181494299316383,-0.07574381246587583
117,6,27,10,0.8179104852294881,-0.07396040973711919
722,7,24,7,0.8177259161376946,-0.07429140339147688
4640,13,23,5,0.8177241827392573,-0.07407490478174146
741,7,25,10,0.8174686230468741,-0.07433821318632607
2706,10,25,7,0.8174686230468741,-0.07433821318632607
897,7,35,6,0.8174198596191391,-0.07442009437376262
242,6,35,7,0.8174198596191391,-0.07442009437376262
1064,7,45,13,0.8173835601806618,-0.0759843347445292
148,6,29,9,0.8172834600830091,-0.07410996538381226
2113,9,29,6,0.8172834600830091,-0.07410996538381226
1584,8,37,5,0.8172309887695309,-0.07431603120530754
3157,10,53,10,0.8169734167480439,-0.0761965187039347
1590,8,37,11,0.8161929180908214,-0.07657455262230592
3555,11,37,8,0.8161929180908214,-0.07657455262230592
362,6,42,15,0.8156457824707103,-0.07689277295108958
95,6,25,20,0.815411239013669,-0.0766419657406926
4850,13,36,7,0.8151396002197214,-0.07718445709980987
5042,13,48,7,0.8148168707275358,-0.07714746519284704
663,7,20,12,0.8144856372070309,-0.07570327642490911
3938,12,20,7,0.8144856372070309,-0.07570327642490911
6401,15,51,6,0.8143765753173815,-0.077599417900836
3523,11,35,8,0.8137363085937492,-0.07741711422094177
1558,8,35,11,0.8137363085937492,-0.07741711422094177
2661,10,22,10,0.8136302593994141,-0.07640203190876373
1272,7,58,13,0.81360508972168,-0.07781288825945902
5202,13,58,7,0.81360508972168,-0.07781288825945902
9584,20,46,5,0.8132950042724619,-0.07791610953418032
9793,20,59,6,0.8132608032226577,-0.07803463627190069
1552,8,35,5,0.8126030725097608,-0.07643507243066351
6050,15,29,7,0.8125663031005808,-0.07822334696865722
7648,17,47,5,0.8123969177246069,-0.07844369082803586
6417,15,52,6,0.8123546276855447,-0.07851317991843894
810,7,29,15,0.8121591546630867,-0.07843125041458661
5312,14,24,5,0.8117562384033149,-0.0768392708721445
4994,13,45,7,0.8116957574462894,-0.07861076597848218
694,7,22,11,0.8113490740966771,-0.0771886065252464
